Bezirk_Nummer,Bezirk_Name,Kategorie,Jahr,Daten
04,Wieden,Häuser,1890,1028
04,Wieden,Häuser,1901,1104
04,Wieden,Häuser,1910,1179
04,Wieden,Häuser,1920,1189
04,Wieden,Häuser,1923,1226
04,Wieden,Häuser,1934,1236
04,Wieden,Häuser,1951,979
04,Wieden,Häuser,1961,1148
04,Wieden,Häuser,1971,1325
04,Wieden,Häuser,1981,1479
04,Wieden,Häuser,1991,1589
04,Wieden,Häuser,2001,1583
04,Wieden,Einwohner,1777,10367
04,Wieden,Einwohner,1783,12117
04,Wieden,Einwohner,1796,14691
04,Wieden,Einwohner,1830,27841
04,Wieden,Einwohner,1840,34695
04,Wieden,Einwohner,1851,47054
04,Wieden,Einwohner,1857,52099
04,Wieden,Einwohner,1869,55682
04,Wieden,Einwohner,1880,58336
04,Wieden,Einwohner,1890,59464
04,Wieden,Einwohner,1900,60359
04,Wieden,Einwohner,1910,62938
04,Wieden,Einwohner,1923,57635
04,Wieden,Einwohner,1934,53063
04,Wieden,Einwohner,1939,47610
04,Wieden,Einwohner,1951,45132
04,Wieden,Einwohner,1961,46441
04,Wieden,Einwohner,1971,39619
04,Wieden,Einwohner,1981,31800
04,Wieden,Einwohner,1991,31410
04,Wieden,Einwohner,2001,28357
04,Wieden,Einwohner,2011,30700
02,Leopoldstadt,Häuser,1670,353
02,Leopoldstadt,Häuser,1775,428
02,Leopoldstadt,Häuser,1779,434
02,Leopoldstadt,Häuser,1782,457
02,Leopoldstadt,Häuser,1783,455
02,Leopoldstadt,Häuser,1787,483
02,Leopoldstadt,Häuser,1796,540
02,Leopoldstadt,Häuser,1806,571
02,Leopoldstadt,Häuser,1827,691
02,Leopoldstadt,Häuser,1834,704
02,Leopoldstadt,Häuser,1837,707
02,Leopoldstadt,Häuser,1843,763
02,Leopoldstadt,Häuser,1846,809
02,Leopoldstadt,Häuser,1851,829
02,Leopoldstadt,Häuser,1856,1066
02,Leopoldstadt,Häuser,1857,1217
02,Leopoldstadt,Häuser,1864,1396
02,Leopoldstadt,Häuser,1951,1954
02,Leopoldstadt,Häuser,1961,2095
02,Leopoldstadt,Häuser,1971,2513
02,Leopoldstadt,Häuser,1981,4516
02,Leopoldstadt,Häuser,1991,5220
02,Leopoldstadt,Häuser,2001,5123
02,Leopoldstadt,Einwohner,1777,6037
02,Leopoldstadt,Einwohner,1783,17338
02,Leopoldstadt,Einwohner,1796,18804
02,Leopoldstadt,Einwohner,1830,25231
02,Leopoldstadt,Einwohner,1840,30989
02,Leopoldstadt,Einwohner,1851,46496
02,Leopoldstadt,Einwohner,1857,56665
02,Leopoldstadt,Einwohner,1864,70100
02,Leopoldstadt,Einwohner,1869,68442
02,Leopoldstadt,Einwohner,1880,100513
02,Leopoldstadt,Einwohner,1890,119119
02,Leopoldstadt,Einwohner,1900,142190
02,Leopoldstadt,Einwohner,1910,162442
02,Leopoldstadt,Einwohner,1923,144019
02,Leopoldstadt,Einwohner,1934,135655
02,Leopoldstadt,Einwohner,1939,120201
02,Leopoldstadt,Einwohner,1951,106809
02,Leopoldstadt,Einwohner,1961,108144
02,Leopoldstadt,Einwohner,1971,102730
02,Leopoldstadt,Einwohner,1981,95892
02,Leopoldstadt,Einwohner,1991,93542
02,Leopoldstadt,Einwohner,2001,90922
02,Leopoldstadt,Einwohner,2011,96113
03,Landstraße,Häuser,1625,251
03,Landstraße,Häuser,1777,690
03,Landstraße,Häuser,1782,714
03,Landstraße,Häuser,1783,758
03,Landstraße,Häuser,1796,926
03,Landstraße,Häuser,1827,1138
03,Landstraße,Häuser,1834,1167
03,Landstraße,Häuser,1843,1198
03,Landstraße,Häuser,1846,1273
03,Landstraße,Häuser,1851,1281
03,Landstraße,Häuser,1857,1308
03,Landstraße,Häuser,1864,1294
03,Landstraße,Häuser,1869,1435
03,Landstraße,Häuser,1880,1744
03,Landstraße,Häuser,1890,2011
03,Landstraße,Häuser,1900,2234
03,Landstraße,Häuser,1910,2526
03,Landstraße,Häuser,1923,2756
03,Landstraße,Häuser,1934,2827
03,Landstraße,Häuser,1951,2372
03,Landstraße,Häuser,1961,2498
03,Landstraße,Häuser,1971,3042
03,Landstraße,Häuser,1981,3728
03,Landstraße,Häuser,1991,3837
03,Landstraße,Häuser,2001,3952
03,Landstraße,Einwohner,1650,3100
03,Landstraße,Einwohner,1777,16290
03,Landstraße,Einwohner,1783,15983
03,Landstraße,Einwohner,1796,20225
03,Landstraße,Einwohner,1830,34051
03,Landstraße,Einwohner,1840,40634
03,Landstraße,Einwohner,1851,55374
03,Landstraße,Einwohner,1857,61210
03,Landstraße,Einwohner,1864,73115
03,Landstraße,Einwohner,1869,88678
03,Landstraße,Einwohner,1880,96523
03,Landstraße,Einwohner,1890,117869
03,Landstraße,Einwohner,1900,147215
03,Landstraße,Einwohner,1910,166981
03,Landstraße,Einwohner,1923,147169
03,Landstraße,Einwohner,1934,145963
03,Landstraße,Einwohner,1939,128908
03,Landstraße,Einwohner,1951,117948
03,Landstraße,Einwohner,1961,114572
03,Landstraße,Einwohner,1971,102025
03,Landstraße,Einwohner,1981,85887
03,Landstraße,Einwohner,1991,84336
03,Landstraße,Einwohner,2001,81287
03,Landstraße,Einwohner,2011,84527
16,Ottakring,Häuser,1590,70
16,Ottakring,Häuser,1713,94
16,Ottakring,Häuser,1751,211
16,Ottakring,Häuser,1771,222
16,Ottakring,Häuser,1787,226
16,Ottakring,Häuser,1794,228
16,Ottakring,Häuser,1795,228
16,Ottakring,Häuser,1822,235
16,Ottakring,Häuser,1851,465
16,Ottakring,Häuser,1869,751
16,Ottakring,Häuser,1880,1384
16,Ottakring,Häuser,1890,2028
16,Ottakring,Häuser,1900,2468
16,Ottakring,Häuser,1910,2717
16,Ottakring,Häuser,1923,2970
16,Ottakring,Häuser,1934,3424
16,Ottakring,Häuser,1951,3161
16,Ottakring,Häuser,1961,3459
16,Ottakring,Häuser,1971,4404
16,Ottakring,Häuser,1981,6098
16,Ottakring,Häuser,1991,6653
16,Ottakring,Häuser,2001,6763
16,Ottakring,Einwohner,1783,6606
16,Ottakring,Einwohner,1794,6022
16,Ottakring,Einwohner,1830,5675
16,Ottakring,Einwohner,1846,13641
16,Ottakring,Einwohner,1851,14287
16,Ottakring,Einwohner,1857,21520
16,Ottakring,Einwohner,1869,31383
16,Ottakring,Einwohner,1880,63074
16,Ottakring,Einwohner,1890,106892
16,Ottakring,Einwohner,1900,150049
16,Ottakring,Einwohner,1910,179045
16,Ottakring,Einwohner,1923,155599
16,Ottakring,Einwohner,1934,150379
16,Ottakring,Einwohner,1939,133855
16,Ottakring,Einwohner,1951,117962
16,Ottakring,Einwohner,1961,110809
16,Ottakring,Einwohner,1971,101017
16,Ottakring,Einwohner,1981,88587
16,Ottakring,Einwohner,1991,88933
16,Ottakring,Einwohner,2001,86149
16,Ottakring,Einwohner,2011,95694
